Status,Task name,Durata,Date,Text,Assign,Due,Description,Estimates
Done,Lezione 01 - Pipelining,1h13,"January 17, 2023",,,"January 20, 2023",,
Done,"Lezione 02 - Retiming, Iteration Bound",1h13,"January 17, 2023",,,"January 12, 2023",,
Done,Lezione 03 - Unfolding,1h09,"January 18, 2023",,,"January 25, 2023",,
Done,Lezione 04 (1:34) - Folding,1h34,"January 18, 2023",,,,,
Done,"Lezione 05 (1:13) - Look Ahead, Non universal techniques",1h13,"January 18, 2023",,,,,
Done,"Lezione 06 (1:33) - RCA, Carry Skip, CSlA",1h33,"January 18, 2023",,,,,
Done,"Lezione 07 (1h20) - CLA, Carry Fast Network",1h20,"January 18, 2023",,,,,
Done,"Lezione 08 (1h24) - CSA, BK & KS Networks",1h24,"January 18, 2023",,,,,
Done,"Lezione 09 (1h26) - Iterative Multiplication, Booth",1h26,"January 19, 2023",,,,,
Done,"Lezione 10 (1h26) - Radix, Wallace, Dadda, Baugh-Wooley",1h26,"January 19, 2023",,,,,
Done,Lezione 11 (1h22) - Restoring & Non-restoring Division,1h22,"January 19, 2023",,,,,
Done,"Lezione 12 (1h11) - Unsigned division, CORDIC",1h11,"January 19, 2023",,,,,
Done,"Lezione 13 (1h18) - CORDIC, LUT arithmetics, Floating point",1h18,"January 19, 2023",,,,,
Done,"Lezione 14 (1h22) - FP multiplier, rounding",1h22,"January 20, 2023",,,,,
Not Started,Lezione 15 (1h19) - FP addition,1h19,"January 21, 2023",,,,,
Not Started,Lezione 16 (1h19) - RiskV,1h19,"January 21, 2023",,,,,
Not Started,Lezione 17 (1h21) - Branch Prediction,1h21,"January 21, 2023",,,,,
Not Started,Lezione 18 (1h43) - Superscalar Processors,1h43,"January 21, 2023",,,,,
Not Started,Lezione 19 (1h19) - Scoreboard Renaming,1h19,"January 22, 2023",,,,,
Not Started,"Lezione 20 (1h34) - ROB, Memory Dependencies, VLIW and TTA processors",1h34,"January 23, 2023",,,,,
Not Started,"Lezione 21 (1h21) - VLIW, Trace Scheduling, Predication, Multi-Threading",1h21,"January 23, 2023",,,,,
Not Started,"Lezione 22 (1h12) - Multicore, GPU",1h12,"January 23, 2023",,,,,